text,intent
Safety tips for harassment situations?,SAFETY_ADVICE
Precautions against sexual harassment? please,SAFETY_ADVICE
What is the punishment for rape under Indian law? I am scared,CHECK_IPC
A neighbor verbally abuses me daily,REPORT_INCIDENT
There is violence happening now,EMERGENCY
Someone touched me inappropriately at office please,REPORT_INCIDENT
Danger situation happening,EMERGENCY
Emergency assistance needed I am scared,EMERGENCY
How to remain safe in public transport? right now,SAFETY_ADVICE
What section covers verbal abuse? immediately,CHECK_IPC
How do I file an FIR? can you help?,HOW_TO_COMPLAIN
What can you do? I am scared,GENERAL
Recent crime statistics here? urgently,AREA_SAFETY
Under which section can I file for threats? can you help?,CHECK_IPC
Can I register a complaint online?,HOW_TO_COMPLAIN
Crime rate in this locality? urgently,AREA_SAFETY
How does this system function? immediately,GENERAL
How do I file an FIR? I am scared,HOW_TO_COMPLAIN
Are there harassment cases reported here?,AREA_SAFETY
Crime rate in this locality? immediately,AREA_SAFETY
Can I file complaint without visiting police station? can you help?,HOW_TO_COMPLAIN
Can I file complaint without visiting police station? please,HOW_TO_COMPLAIN
Safety tips for harassment situations?,SAFETY_ADVICE
Advice for handling domestic abuse? can you help?,SAFETY_ADVICE
Can I register a complaint online? can you help?,HOW_TO_COMPLAIN
Is sexual harassment punishable under IPC? right now,CHECK_IPC
How to approach police legally? I am scared,HOW_TO_COMPLAIN
How does this system function? please,GENERAL
Do I need proof to file FIR? please,HOW_TO_COMPLAIN
Precautions against sexual harassment? I am scared,SAFETY_ADVICE
Safety tips for harassment situations? immediately,SAFETY_ADVICE
How to protect myself at night? immediately,SAFETY_ADVICE
Advice for handling domestic abuse? please,SAFETY_ADVICE
Is it risky to walk alone here? urgently,AREA_SAFETY
How to remain safe in public transport? please,SAFETY_ADVICE
How to stay safe while traveling alone? can you help?,SAFETY_ADVICE
Hello please,GENERAL
Hello can you help?,GENERAL
Procedure to report domestic violence? urgently,HOW_TO_COMPLAIN
A stranger keeps sending me threatening messages immediately,REPORT_INCIDENT
How to stay safe while traveling alone? please,SAFETY_ADVICE
Guidance for handling blackmail? right now,SAFETY_ADVICE
Guidance for handling blackmail? please,SAFETY_ADVICE
Steps to report harassment? please,HOW_TO_COMPLAIN
How to remain safe in public transport? immediately,SAFETY_ADVICE
Can I file complaint without visiting police station? right now,HOW_TO_COMPLAIN
There is violence happening now urgently,EMERGENCY
What is the punishment for rape under Indian law? immediately,CHECK_IPC
Crime rate in this locality? can you help?,AREA_SAFETY
Someone touched me inappropriately at bus stop I am scared,REPORT_INCIDENT
Is there a law against hidden camera recording? immediately,CHECK_IPC
Someone installed a hidden camera in park immediately,REPORT_INCIDENT
Are there harassment cases reported here? urgently,AREA_SAFETY
I am in immediate danger I am scared,EMERGENCY
Safety tips for harassment situations? I am scared,SAFETY_ADVICE
Someone is attacking me can you help?,EMERGENCY
How to stay safe while traveling alone?,SAFETY_ADVICE
Procedure to report domestic violence? please,HOW_TO_COMPLAIN
Is this area safe at night? I am scared,AREA_SAFETY
Precautions against sexual harassment? immediately,SAFETY_ADVICE
What can you do? immediately,GENERAL
There is domestic violence happening in my house can you help?,REPORT_INCIDENT
How to remain safe in public transport? immediately,SAFETY_ADVICE
What is the punishment for rape under Indian law? urgently,CHECK_IPC
What can you do? immediately,GENERAL
Give me details about this app,GENERAL
I feel unsafe and threatened right now,EMERGENCY
Someone touched me inappropriately at mall can you help?,REPORT_INCIDENT
Tell me about SafetyNet please,GENERAL
A stranger keeps sending me threatening messages immediately,REPORT_INCIDENT
Someone touched me inappropriately at street can you help?,REPORT_INCIDENT
A neighbor verbally abuses me daily can you help?,REPORT_INCIDENT
What is the punishment for rape under Indian law? I am scared,CHECK_IPC
Are there harassment cases reported here? please,AREA_SAFETY
What documents are required to file FIR? can you help?,HOW_TO_COMPLAIN
There is violence happening now please,EMERGENCY
Emergency assistance needed I am scared,EMERGENCY
Procedure to report domestic violence? I am scared,HOW_TO_COMPLAIN
How to stay safe while traveling alone? right now,SAFETY_ADVICE
Please send help urgently,EMERGENCY
Under which section can I file for threats?,CHECK_IPC
How do I file an FIR? immediately,HOW_TO_COMPLAIN
Emergency assistance needed immediately,EMERGENCY
Which IPC section applies for stalking?,CHECK_IPC
What should I do if someone stalks me? please,SAFETY_ADVICE
A man has been following me since mall,REPORT_INCIDENT
Emergency assistance needed urgently,EMERGENCY
Guidance for handling blackmail? please,SAFETY_ADVICE
Call police immediately I am scared,EMERGENCY
Danger situation happening right now,EMERGENCY
What section covers verbal abuse? can you help?,CHECK_IPC
Should I avoid this place after 9 PM?,AREA_SAFETY
Someone installed a hidden camera in mall right now,REPORT_INCIDENT
Safety level of this location? can you help?,AREA_SAFETY
What should I do if someone stalks me? I am scared,SAFETY_ADVICE
Safety tips for harassment situations?,SAFETY_ADVICE
